Date,Chrome,Internet Explorer,Mobile Safari,Firefox,Android Webkit,Others
1-Jan,17.2,50.3,8.9,12.9,3.1,7.6
5-Jan,18.1,49.1,8.7,13.3,3,7.8
9-Jan,17.2,53.4,6.6,13.3,2.5,7
13-Jan,20.4,45.5,9.2,13.9,3.1,7.9
17-Jan,18.9,52.5,6.4,12.8,2.6,6.8
21-Jan,20.9,48.7,7.7,13.3,2.6,6.8
25-Jan,18.6,51.1,6.9,13.1,2.5,7.8
29-Jan,17.7,52.7,6.9,13.4,2.5,6.8
2-Feb,17.7,47.8,10.4,13.1,3.1,7.9
6-Feb,17,52.2,8.3,12.9,2.6,7
10-Feb,17.9,45.7,11.9,13.1,3.2,8.2
14-Feb,17.2,51.9,8.6,12.9,2.6,6.8
18-Feb,18.5,38,10.9,13.3,6.5,12.8
22-Feb,19.1,39.3,8.9,14,5.9,12.8
26-Feb,17.9,39.6,10,13.6,5.7,13.2
2-Mar,18.3,37.5,11.6,12.9,6.1,13.6
6-Mar,17.9,39.6,10.3,13.4,5.3,13.5
10-Mar,16.8,35,12.6,12.6,8.7,14.3
14-Mar,17.2,41.8,10,12.8,5.2,13
18-Mar,19.6,40.1,9.7,13.8,4.9,11.9
22-Mar,20.4,38.1,10.5,14.6,5.1,11.3
26-Mar,19.8,39,10.4,13.6,5.3,11.9
30-Mar,18.7,35.7,13.7,12.8,6.9,12.2
3-Apr,20.6,38.3,10.4,13.6,5.4,11.7
7-Apr,18.8,33.4,13.6,14.8,6.7,12.7
11-Apr,19.9,38.5,10.4,13.9,5.8,11.5
15-Apr,20.1,37.5,10.5,14.2,5.4,12.3
19-Apr,20.8,35.7,11.2,15.1,5.6,11.6
23-Apr,21.3,36.3,10.8,14.5,5.3,11.8
27-Apr,21.3,32.2,13.8,13.5,6.6,12.6
1-May,21.7,35.5,11,14.2,5.4,12.2
5-May,22.6,30.3,13.9,13.6,6.6,13
9-May,20.7,38.8,11.6,13.6,4.4,10.9
13-May,20.6,38.7,11.3,13.4,4.7,11.3
17-May,19.4,41.8,11.9,12.1,5,9.8
21-May,19.4,42.2,11.7,11.9,5,9.8
25-May,20,33.5,15.6,13,5.9,12
29-May,17.7,45.6,10.7,12.2,4.8,9
2-Jun,20.6,33.8,13.5,13.7,7,11.4
6-Jun,17.5,49.4,8.9,11.6,4.5,8.1
10-Jun,19.2,43.5,10.2,12.9,5.1,9.1
14-Jun,22.2,38.7,9.6,14.1,5.3,10.1
18-Jun,21.8,39.6,9.3,14.1,5.1,10.1
22-Jun,22.3,32.3,11.9,14.7,6.6,12.2
26-Jun,20.1,41.4,9.4,13.7,5.4,10
30-Jun,23,30.7,12.3,15.1,6.4,12.5
4-Jul,26.4,29.4,10.3,15.1,7.3,11.5
8-Jul,26.1,31.3,9.6,15.3,6.8,10.9
12-Jul,26.1,30.2,10,15.1,7,11.6
16-Jul,26.2,31,9.9,15,6.8,11.1
20-Jul,26.7,26.7,11.8,14.7,8.3,11.8
24-Jul,26.4,30.7,9.9,15,7,11
28-Jul,0,0,0,0,0,0
1-Aug,26.4,30.6,9.7,15,6.9,11.4
5-Aug,26.2,30.4,10.2,14.7,7.2,11.3
9-Aug,26,30.2,10.4,14.5,7.5,11.4
13-Aug,26.3,30.5,10,14.7,7.2,11.3
17-Aug,26.9,25.7,12.1,14.5,8.6,12.2
21-Aug,26.5,30.5,10.1,14.5,7.3,11.1
25-Aug,27.1,25.7,12.3,14.2,8.4,12.3
29-Aug,26.6,30.3,10,14.4,7.1,11.6
2-Sep,26.4,28,11.5,14.3,7.7,12.1
6-Sep,26.5,30.1,10.3,14.2,7.3,11.6
10-Sep,26.5,29.8,10.3,14.3,7.2,11.9
14-Sep,27.1,25.6,12.3,13.8,8.5,12.7
18-Sep,26.6,30.3,10.1,14.3,6.9,11.8
22-Sep,26.8,25,13,13.6,8.8,12.8
26-Sep,26.5,30.5,10.2,14,7.1,11.7
30-Sep,27,30.2,9.6,14.3,6.9,12
4-Oct,26.4,29.9,10.1,14,7.4,12.2
8-Oct,25.6,30.7,10.1,13.8,7.3,12.5
12-Oct,26.4,25.6,12.4,13.5,8.8,13.3
16-Oct,26.5,29.9,10,14,7.2,12.4
20-Oct,26.4,25.2,12.8,13.4,8.7,13.5
24-Oct,26.8,30.1,10.1,14,7,12
28-Oct,27.1,30,10.1,14,6.9,11.9
1-Nov,27.1,29.1,10.6,14,7.3,11.9
5-Nov,26.7,30,10.5,13.7,6.7,12.4
9-Nov,27.1,25.5,12.9,13.2,7.9,13.4
13-Nov,27.2,29.3,10.6,13.8,6.6,12.5
17-Nov,27.5,23.5,13.7,13.4,8.1,13.8
21-Nov,28,27.5,11.1,14.1,6.7,12.6
25-Nov,28,27.1,11.5,14,7.1,12.3
29-Nov,28.2,23.2,14.1,13.6,8.3,12.6
3-Dec,27.9,25.3,11.9,14.1,8,12.8
7-Dec,28.8,19,14.3,14.2,9.5,14.2
11-Dec,29,23.2,11.7,14.8,8.3,13
15-Dec,28.3,17.5,15.2,14.2,10.2,14.6
19-Dec,29.1,22.2,12.1,14.8,8.9,12.9
23-Dec,28.9,20.5,13.3,14.4,9.7,13.2
27-Dec,28.7,19.5,14.4,14.3,9.9,13.2
31-Dec,27.9,19.3,14.5,14.1,10.3,13.9
