Date,Chrome,Mobile Safari,Internet Explorer,Firefox,Android Webkit,Others
1-Jan,27.5,16.3,16.4,14.1,11.2,14.5
5-Jan,28.3,15.9,16.1,14.3,11,14.4
9-Jan,29.3,12.7,21.5,15,8.9,12.6
13-Jan,28.7,12.4,22.9,14.7,8.8,12.5
17-Jan,27.5,11.8,26,13.9,8.8,12
21-Jan,27.4,11.6,26.4,13.9,8.7,12
25-Jan,27,14.3,21.6,13.3,10.4,13.4
29-Jan,27.8,11.8,25.3,14.3,8.8,12
2-Feb,27.1,14.6,20.5,13.7,10.6,13.5
6-Feb,27.3,11.7,25.5,14.5,9.1,11.9
10-Feb,27.5,11.4,25.7,14.7,8.8,11.9
14-Feb,27.6,11.8,24.8,14.3,9.2,12.3
18-Feb,28.1,11.4,25,14.4,8.9,12.2
22-Feb,28,13.9,20.4,13.7,10.5,13.5
26-Feb,28.2,11.4,24.8,14.2,9,12.4
2-Mar,27.5,14.2,20.1,13.5,10.8,13.9
6-Mar,28.3,11.4,24.9,14.2,9,12.2
10-Mar,28.1,11.6,24.9,14.3,9,12.1
14-Mar,29.8,12.9,18.1,15.2,10.2,13.8
18-Mar,30.2,12.5,18.2,15.4,9.9,13.8
22-Mar,30.1,15.3,13.2,14.6,11.5,15.3
26-Mar,28.2,11.6,24.7,14,6.7,14.8
30-Mar,27.8,14.6,19.7,13.1,7.9,16.9
3-Apr,27.8,11.8,25,13.7,7,14.7
7-Apr,27.8,12,24.9,13.7,6.9,14.7
11-Apr,27.7,12.2,24.8,13.7,6.8,14.8
15-Apr,27.6,12.2,24.7,13.7,6.9,14.9
19-Apr,26.8,15,19.7,12.5,8.2,17.8
23-Apr,27.6,12.4,24.3,13.4,6.9,15.4
27-Apr,26.6,15.6,19.6,12.6,8.2,17.4
1-May,27.5,13,22.4,13.1,7.1,16.9
5-May,30.7,8,22.9,10.8,10.6,17
9-May,35,13.5,17.1,13.3,9.8,11.3
13-May,35,13.3,17.4,13.4,9.4,11.5
17-May,34.8,15.5,14,12.6,10.9,12.2
21-May,35.6,13.3,17.2,13.4,9.3,11.2
25-May,34.5,16.2,13.3,12.6,10.8,12.6
29-May,35.9,13.7,16.5,13.3,9.3,11.3
2-Jun,34.9,14,16.9,13.3,9.4,11.5
6-Jun,34.4,14.2,17,13,9.7,11.7
10-Jun,34.9,13.4,17.5,13.4,9.3,11.5
14-Jun,34.6,16,13.7,12.5,10.7,12.5
18-Jun,35.2,13.7,17,13.4,9.3,11.4
22-Jun,33.4,16.7,13.7,12.1,11.2,12.9
26-Jun,35.4,13.8,17,13.1,9.2,11.5
30-Jun,35.2,13.8,16.8,13.4,9.2,11.6
4-Jul,34.7,15.4,15.1,12.6,10.1,12.1
8-Jul,34.5,14.7,16.7,12.9,9.4,11.8
12-Jul,33.8,16.9,14,11.9,10.7,12.7
16-Jul,34,14.9,17.3,12.5,9.5,11.8
20-Jul,32.8,17.6,13.9,11.7,10.7,13.3
24-Jul,33.9,15.3,17.3,12.4,9.3,11.8
28-Jul,33.4,15.6,17.5,12.1,9.4,12
1-Aug,33.1,15.5,17.4,12.1,9.9,12
5-Aug,33.5,15.3,17.1,12.2,9.8,12.1
9-Aug,33,17.3,13.8,11.4,11.1,13.4
13-Aug,33.6,15.1,17.1,12.1,9.7,12.4
17-Aug,32,18.1,13.5,11.3,11,14.1
21-Aug,33.4,15.3,16.8,11.9,9.7,12.9
25-Aug,33.7,15.5,16.5,12,9.4,12.9
29-Aug,32.9,17.2,15.8,11.6,9.5,13
2-Sep,33.1,16.9,16.3,11.8,9.1,12.8
6-Sep,32.2,19.4,13,10.7,10.4,14.3
10-Sep,33,16.6,16.3,11.6,9,13.5
14-Sep,31.3,19.9,12.7,10.8,10.4,14.9
18-Sep,33,16.7,16.5,11.4,9,13.4
22-Sep,33.1,16.8,16.4,11.5,8.8,13.4
26-Sep,33.1,17.1,15.9,11.3,9.1,13.5
30-Sep,33.5,16,16.5,11.5,8.9,13.6
4-Oct,32.3,17.8,13.5,10.6,10.6,15.2
8-Oct,34,14.9,16.6,11.7,9.1,13.7
12-Oct,31.9,18.2,13,10.7,10.7,15.5
16-Oct,33.8,14.7,16.4,12.5,8.9,13.7
20-Oct,33.6,14.7,16.7,12.1,8.9,14
24-Oct,33.9,15,16.4,11.8,9.1,13.8
28-Oct,32,15.5,17.3,11.4,9.2,14.6
1-Nov,31.3,17.5,14.2,11.6,10.3,15.1
5-Nov,33.4,14.7,17.7,12.2,8.5,13.5
9-Nov,31,17.9,14.2,11.3,9.6,16
13-Nov,33,15.1,16.9,12.1,8.4,14.5
17-Nov,31.8,15.6,16.9,11.8,8.7,15.2
21-Nov,29.5,16.7,18.4,11.4,8.6,15.4
25-Nov,32.6,15.6,16.9,11.7,8.3,14.9
29-Nov,31.6,18.4,13.8,10.6,9.1,16.5
3-Dec,32.7,15.7,16.7,11.8,8,15.1
7-Dec,30.2,19.1,13.4,10.5,9.5,17.3
11-Dec,30.9,15.4,16.6,11.3,10.8,15
15-Dec,31.2,15.7,16.3,11,10.8,15
19-Dec,31.8,16.5,15.9,10.9,9.5,15.4
23-Dec,31.6,17.3,15.6,10.6,9.2,15.7
27-Dec,30.3,19.7,13.3,9.8,9.9,17
31-Dec,29.8,18.8,15,10,9.5,16.9
