Date,Chrome,Mobile Safari,Internet Explorer,Firefox,Android Webkit,Others
1-Feb,29.2,21.5,11.9,9.7,9.9,17.8
2-Feb,31.3,18.3,14.8,10.6,8.8,16.2
3-Feb,31.5,17.6,15,10.7,8.8,16.4
4-Feb,31.5,17.4,14.9,10.7,9.3,16.2
5-Feb,30.5,17.2,14.5,10.3,11.7,15.8
6-Feb,30.2,17.2,14.4,10.4,11.8,16
7-Feb,29,19.5,11.6,9.5,13.2,17.2
8-Feb,28.4,20,11.4,9.4,13.3,17.5
9-Feb,30.4,17.3,14.5,10.3,11.6,15.9
10-Feb,30.8,16.8,14.5,10.4,11.5,16
11-Feb,30.8,16.8,14.6,10.4,11.4,16
12-Feb,31,17.2,14.8,10.5,10.3,16.2
13-Feb,31,17.8,14.4,10.4,9.9,16.5
14-Feb,29.7,20.1,11.8,9.7,10.7,18
15-Feb,29.3,20.8,11.6,9.7,10.5,18.1
16-Feb,30.3,19.1,14,10.3,9.3,17
17-Feb,30.5,18.5,14.4,10.4,9.3,16.9
18-Feb,31.4,17.8,14.6,10.6,9.2,16.4
19-Feb,31.7,17.2,14.6,10.7,9.2,16.6
20-Feb,31.1,17.9,14.4,10.6,9.3,16.7
21-Feb,29.8,20.2,11.9,9.9,10.1,18.1
22-Feb,29.6,20.3,11.7,9.8,10.1,18.5
23-Feb,31.3,17.6,14.8,10.7,8.9,16.7
24-Feb,32,17,14.9,11,8.8,16.3
25-Feb,31.8,17.1,14.7,11,8.9,16.5
26-Feb,31.5,17.2,14.8,11.1,8.9,16.5
27-Feb,31.4,17.5,14.5,11,9,16.6
28-Feb,30.4,19.4,12.1,10.1,9.9,18.1
