Date,Chrome,Mobile Safari,Internet Explorer,Firefox,Android Webkit,Others
1-Mar,29.7,20,12,10,10,18.3
2-Mar,31.8,17,14.9,10.9,8.8,16.6
3-Mar,31.5,16.6,14.7,10.7,9.3,17.2
4-Mar,31.5,16.4,14.8,10.8,9.2,17.3
5-Mar,31.6,17,14.5,10.8,9,17.1
6-Mar,31.5,17,14.3,11,9.2,17
7-Mar,30.5,19.6,11.8,10.2,9.9,18
8-Mar,30,20.4,11.5,10,9.9,18.2
9-Mar,31.8,17.4,14.6,10.9,8.6,16.7
10-Mar,31.4,16.8,14.5,10.8,9.9,16.6
11-Mar,31,16.4,14.2,10.6,11.5,16.3
12-Mar,31,16.6,14.2,11.3,10.6,16.3
13-Mar,31,17.1,14.1,11.6,9.7,16.5
14-Mar,30.4,19.6,11.5,10.2,10.5,17.8
15-Mar,30,20.1,11.3,10,10.3,18.3
16-Mar,32,17.3,14.4,10.9,9,16.4
17-Mar,32.2,17.4,14.4,10.9,9,16.1
18-Mar,32.6,17.1,14.5,11,8.8,16
19-Mar,32.8,17.1,14.5,10.9,8.7,16
20-Mar,32.2,17.7,14.3,10.8,8.9,16.1
21-Mar,30.9,20.1,11.6,10,9.9,17.5
22-Mar,30.5,20.5,11.4,10,9.8,17.8
23-Mar,32.1,17.6,14.6,10.9,8.7,16.1
24-Mar,32.6,17.4,14.4,10.9,8.7,16
25-Mar,33.3,17.1,14.3,11.1,8.4,15.8
26-Mar,33,17.3,14.3,10.9,8.4,16.1
27-Mar,32.1,17.9,14.2,10.7,8.8,16.3
28-Mar,31.1,20.3,11.7,9.9,9.6,17.4
29-Mar,30.5,20.8,11.4,9.9,9.6,17.8
30-Mar,32.5,17.4,14.7,11,8.4,16
31-Mar,32.3,17.8,14.4,10.9,8.4,16.2
